run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-severe-escalation,outcome-managed-stalemate,ever-managed-stalemate,ms-share,ms-duration,first-managed-stalemate-tick,military-deescalation-window-flag,awrp-current,risk-premium,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
174,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24837031229904324,0.2903103452041086,0.9970685037436997,0.98,121.46825126610715,Ground_War,1,0,0,0.09090909090909091,1,-1,0,0.5768424416807882,51.468251266107146,2.5,1,1,0,1,0,1
175,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.324024959125975,1,0,0.97,109.558424313432,Selective_Passage,0,0,0,0,0,-1,0,0.37456096195087385,39.55842431343199,2.5,1,1,0,0,0,0
176,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.22170334131056757,0.25084618770566913,1,0.8599999999999999,125.080758304428,Ground_War,1,0,0,0.1111111111111111,1,-1,0,0.6209986252645975,55.080758304428,2.5,1,1,0,1,0,1
177,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2419999207022023,0.22500425512676311,1,0.97,127.08831784665293,Ground_War,1,0,0,0.08333333333333333,1,-1,0,0.6176943581133171,57.08831784665293,2.5,1,1,0,1,0,1
178,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,52,0.35333333333333333,0.6466666666666666,0,0,0.6466666666666666,0.39999999999999997,Active_Military_War | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.318115510145307,1,0,0.97,108.60233467004645,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.38141622403562003,38.602334670046446,2.5,1,1,0,0,0,0
179,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,13,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24586826412252955,0.28364395043853863,1,0.97,124.72520665896644,Ground_War,1,0,0,0.07692307692307693,1,-1,0,0.585370497563545,54.72520665896644,2.5,1,1,0,1,0,1
180,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,149,0.9933333333333333,0.006666666666666667,0,0,0.006666666666666667,0.3,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.3287104352196884,1,0,0.98,107.5864434675917,Selective_Passage,0,0,0,0.006666666666666667,1,-1,1,0.36948313846382785,37.58644346759171,2.5,1,1,0,0,0,0
181,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14500000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.300079680603196,0.9810771625705064,0.14149489045723446,0.9199999999999999,111.33689247189375,Selective_Passage,0,0,1,0.02,3,35,0,0.36741638756261574,41.336892471893755,2.5,1,1,0,0,0,0
182,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,106,0.9866666666666667,0.013333333333333334,0,0,0.013333333333333334,0.21500000000000008,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,114.22777400298752,Selective_Passage,0,0,0,0.013333333333333334,2,-1,0,0.39620185337777963,44.227774002987516,2.5,1,1,0,0,0,0
183,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.33501416075602697,0.9519162720159788,0.427983827265363,0.97,112.17754492959591,Accidental_War,1,0,0,0,0,-1,0,0.5205006953435174,42.17754492959591,2.5,1,1,0,0,0,0
